model,category,series,page,max_video_resolution,sensor_lens_fov,sensor_fov,horizontal_fov,image_sensor,lens,min_illumination_lux,max_fps,optical_zoom,pan_tilt,pan_tilt_zoom,rs485_rs422_ptz_control,sensitivity,detection_range,object_temperature_range,audio_builtin_mic,audio_support,builtin_mic,compute_capabilities,included_video_analytics,analytics,power,io_ports,operating_temperature,approvals,certifications,outdoor_ready,wdr_lightfinder,zipstream_codec_support,optimizedir_builtin_ir,secure_boot_signed_video_keystore,secure_boot_keystore,sustainability,highlighted_features,voice_announcements,onboard_audio_clips,max_sound_pressure_level,frequency_response,coverage_pattern,other
AXIS P1385-BE,Box cameras,AXIS P13 Series,12,1920x1080 (2.1 MP),"1/2.8”, - , -",,,,,0.05/0.01,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE class 4, DC PoE class 3 (with limited heater)",2/2,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 36% bio-plastics",Edge-to-edge technology Shock detection Electronic image stabilization,,,,,,
AXIS M1137 Mk II,Box cameras,AXIS M11 Series,13,2592x1944 (5 MP),"1/2.7"", 2.8 - 13 mm, F1.4, 112° - 24° 1/2.7'', i-CS lens 3.5 - 10 mm, F1.8, 99° - 31°",,,,,DC-iris: 0.17/0.03 i-CS: 0.19/0.04,25/30,,,,,,,,√ / √,,,Machine learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 3, DC",1/1,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,PVC free 20% recycled plastics,Edge-to-edge technology Remote zoom & focus with i-CS lens,,,,,,
AXIS M1137-E Mk II,Box cameras,AXIS M11 Series,13,2592x1944 (5 MP),"1/2.7"", 2.8 - 13 mm, F1.4, 112° - 24° 1/2.7'', i-CS lens 3.5 - 10 mm, F1.8, 99° - 31°",,,,,DC-iris: 0.17/0.03 i-CS: 0.19/0.04,25/30,,,,,,,,√ / -,,,Machine learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,"PoE Class 3, DC",1/1,-25 °C to 50 °C (-13 °F to 122 °F),"IP66/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,PVC free,Edge-to-edge technology Remote zoom & focus with i-CS lens,,,,,,
AXIS M1135 Mk II,Box cameras,AXIS M11 Series,13,1920x1080 (2.1 MP),"1/2.9"", 3 - 10.5 mm, F1.4, 90° - 33° 1/2.9"", i-CS lens 3.5 - 10 mm, F1.8, 101° - 33°",,,,,DC-iris: 0.15/0.03 i-CS: 0.17/0.03,25/30,,,,,,,,√ / √,,,Machine learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 3, DC",1/1,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,PVC free 20% recycled plastics,Edge-to-edge technology Remote zoom & focus with i-CS lens,,,,,,
AXIS M1135-E Mk II,Box cameras,AXIS M11 Series,13,1920x1080 (2.1 MP),"1/2.9"", 3 - 10.5 mm, F1.4, 90° - 33° 1/2.9"", i-CS lens 3.5 - 10 mm, F1.8, 101° - 33°",,,,,DC-iris: 0.15/0.03 i-CS: 0.17/0.03,25/30,,,,,,,,√ / -,,,Machine learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,"PoE Class 3, DC",1/1,-25 °C to 50 °C (-13 °F to 122 °F),"IP66/NEMA 4X, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,PVC free,Edge-to-edge technology Remote zoom & focus with i-CS lens,,,,,,
AXIS M1055-L,Box cameras,AXIS M11 Series,13,1920x1080 (2.1 MP),"1/2.9'' 3.16 mm, F2.0 103°",,,,,0.18/0.00,25/30,,,,,,,,- / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,PoE Class 2,2,0 °C to 35 °C (32 °F to 95 °F),-,,,WDR/Lightfinder,√ / √ / √ / -,- / √,√ / √ / √,,"PVC free, BFR/CFR free 70% recycled plastics",Edge-to-edge technology,,,,,,
AXIS Q1809-LE,Bullet cameras,AXIS Q18 Series,14,7424x5568 (41 MP),"4/3”, 12 - 24 mm, F2.0-3.0, 90° - 44° 4/3”, 50 - 150 mm, F4.0, 21° - 7°",,,,,24 mm: 0.12/0.00 150 mm: 0.2/0.00,25/30,24 mm: 2x 150 mm: 3x,,,,,,,√ / -,,,Deep learning processing unit,Audio detection AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,"PoE Class 4, AC, DC PoE Class 6 (with PoE out)",2,-40 °C to 55 °C (-40 °F to 131 °F),"IP66/IP67/NEMA 4X, IK10",,,Dynamic Contrast/Lightfinder,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection Low power mode Dynamic power mode white LED for 12 - 24 mm Edge-to-edge technology,,,,,,
AXIS Q1808-LE,Bullet cameras,AXIS Q18 Series,14,3712x2784 (10.3 MP),"4/3”, 12 - 48 mm, F1.7 - 4.0, 90° - 21° 4/3”, 50 - 150 mm, F4.0, 21° - 7°",,,,,48 mm: 0.02/0.00 150 mm: 0.1/0.00,50/60,48 mm: 4x 150 mm: 3x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Live Privacy Shield Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,"PoE Class 4, AC, DC PoE Class 6 (with PoE out)",2,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection Low power mode Dynamic power mode white LED for 12 - 24 mm Edge-to-edge technology,,,,,,
AXIS Q1806-LE,Bullet cameras,AXIS Q18 Series,14,2880x1620 (4.7 MP),"1/1.8” 4.3 - 137 mm, F1.4 - 4.0 60° - 2.3°",,,,,0.08/0.00,90,32x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Live Privacy Shield Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,"PoE Class 4, AC, DC PoE Class 6 (with PoE out)",2,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection Low power mode Dynamic power mode white LED for 12 - 24 mm Edge-to-edge technology Traffic camera installation assistant,,,,,,
AXIS Q1805-LE,Bullet cameras,AXIS Q18 Series,14,1920x1080 (2.1 MP),"1/2.8” 4.3 - 137 mm, F1.4 - 4.0 60° - 2.3°",,,,,0.06/0.00,90,32x,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Live Privacy Shield Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,"PoE Class 3 (no IR, no heaters) PoE Class 4, AC, DC PoE Class 6 (with PoE out)",2,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/IP67/NEMA 4X, IK10",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection Low power mode Dynamic power mode white LED for 12 - 24 mm Edge-to-edge technology Traffic camera installation assistant,,,,,,
