model,category,series,page,max_video_resolution,sensor_lens_fov,sensor_fov,horizontal_fov,image_sensor,lens,min_illumination_lux,max_fps,optical_zoom,pan_tilt,pan_tilt_zoom,rs485_rs422_ptz_control,sensitivity,detection_range,object_temperature_range,audio_builtin_mic,audio_support,builtin_mic,compute_capabilities,included_video_analytics,analytics,power,io_ports,operating_temperature,approvals,certifications,outdoor_ready,wdr_lightfinder,zipstream_codec_support,optimizedir_builtin_ir,secure_boot_signed_video_keystore,secure_boot_keystore,sustainability,highlighted_features,voice_announcements,onboard_audio_clips,max_sound_pressure_level,frequency_response,coverage_pattern,other
AXIS M2036-LE,Bullet cameras,AXIS P14 Series,15,2668x1512 (4 MP),"1/2.7” 2.4 mm, F2.1 129°",,,,,0.18/0.00,25/30,-,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata AXIS Live Privacy Shield,,PoE Class 3,- / -,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/IP67/NEMA 4X, IK08",,,WDR/Lightfinder,√ / √ / √ / -,- / √,√ / √ / √,,"PVC free, BFR/CFR free",Edge-to-edge technology,,,,,,
AXIS M2035-LE,Bullet cameras,AXIS P14 Series,15,1920x1080 (2.1 MP),"1/2.9”, 3.2 mm, F1.4, 101° 1/2.9”, 7.5 mm, F1.6, 39°",,,,,3.2 mm: 0.16/0.00 7.5 mm: 0.17/0.00,25/30,-,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata AXIS Live Privacy Shield,,PoE Class 3,- / -,-30 °C to 50 °C (-22 °F to 122 °F),"IP66/IP67/NEMA 4X, IK08",,,WDR/Lightfinder,√ / √ / √ / -,- / √,√ / √ / √,,"PVC free, BFR/CFR free",Edge-to-edge technology,,,,,,
AXIS P1275 Mk II,Modular cameras,AXIS P12 Series,16,1920x1080 (2.1 MP),"1/2.9"" 2.8 - 6mm. F2.0 99 - 35°",,,,,0.2/-,25/30,,,,,-,-,,- / -,,,,AXIS Object Analytics AXIS Scene Metadata,,PoE Class 2,- / -,-20 °C to 45 °C (-4 °F to 113 °F),-,,,Forensic Capture / -,√ / √ / √,- / -,√ / √ / √,,PVC free,-,,,,,,
AXIS P1265 Mk II,Modular cameras,AXIS P12 Series,16,1920x1080 (2.1 MP),"1/2.9"" 3.7mm, F2.5 91°",,,,,0.2/-,25/30,,,,,-,-,,- / -,,,,AXIS Object Analytics AXIS Scene Metadata,,PoE Class 2,- / -,-20 °C to 45 °C (-4 °F to 113 °F),-,,,Forensic Capture / -,√ / √ / √,- / -,√ / √ / √,,PVC free,-,,,,,,
AXIS P1245 Mk II,Modular cameras,AXIS P12 Series,16,1920 x1080 (2.1 MP),"1/2 9"" 2.8mm, F2.0 111°",,,,,0.2/-,25/30,,,,,-,-,,- / -,,,,AXIS Object Analytics AXIS Scene Metadata,,PoE Class 2,- / -,-20 °C to 45 °C (-4 °F to 113 °F),-,,,Forensic Capture / -,√ / √ / √,- / -,√ / √ / √,,PVC free,Exchangable lenses,,,,,,
AXIS F9104-B Mk II,Modular cameras,AXIS P12 Series,16,3840x2160 (4K),-,,,,,-,60,,,,,,,,- / -,,,,AXIS Object Analytics Active tampering alarm AXIS Scene Metadata,,"PoE Class 4, DC",- / -,-40 °C to 60 °C (-40 °F to 140 °F),-,,,Forensic WDR / -,√ / √ / √,- / -,√ / - / √,,PVC free,Group view Supports 4 sensor units,,,,,,
AXIS F9111-R Mk II,Modular cameras,AXIS P12 Series,16,3840x2160 (4K),-,,,,,-,180,,,,,,,,√ / -,,,,AXIS Object Analytics Active tampering alarm AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 °C to 60 °C (-40 °F to 140 °F),-,,,Forensic WDR / -,√ / √ / √,- / -,√ / - / √,,PVC free,Ignition control,,,,,,
AXIS F9114-R Mk II,Modular cameras,AXIS P12 Series,16,3840x2160 (4K),-,,,,,-,60,,,,,,,,√ / -,,,,AXIS Object Analytics Active tampering alarm AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 °C to 60 °C (-40 °F to 140 °F),-,,,Forensic WDR / -,√ / √ / √,- / -,√ / - / √,,PVC free,Ignition control Group view Supports 4 sensor units,,,,,,
AXIS F9114-B Mk II,Modular cameras,AXIS P12 Series,16,3840x2160 (4K),-,,,,,-,60,,,,,,,,√ / -,,,,AXIS Object Analytics Active tampering alarm AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 to 60 °C (-40 °F to 140 °F),-,,,Forensic WDR / -,√ / √ / √,- / -,√ / - / √,,PVC free,Group view Supports 4 sensor units,,,,,,
AXIS F2105-RE,Modular cameras,AXIS F Series,17,,"1/2.8” 3 mm, F2.0 108°",,,,,0.1 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-40 °C to 60 °C (-40 °F to 140 °F),IP66/IP67/IP6K9K,,,Forensic WDR/ Lightfinder,- / - / -,- / -,- / - / -,,"PVC free, BFR/CFR free",Exchangable lenses,,,,,,
AXIS F2107-RE,Modular cameras,AXIS F Series,17,,"1/2.78"" 2.8 mm, F2.2 110°",,,,,0.25 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-40 °C to 60 °C (-40 °F to 140 °F),IP66/IP67/IP6K9K,,,Forensic WDR/ Lightfinder,- / - / -,- / -,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS F2108,Modular cameras,AXIS F Series,17,,"1/2.9” 4.3 mm, F1.8 110°",,,,,0.4 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR/ Lightfinder,- / - / -,- / -,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS F2115-R,Modular cameras,AXIS F Series,17,,"1/2.8"" 3.2 - 5.7 mm, F2.2 - F3.1 107° - 56°",,,,,0.1 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-40 °C to 60 °C (-40 °F to 140 °F),IP5X,,,Forensic WDR/ Lightfinder,- / - / -,- / -,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS F2135-RE,Modular cameras,AXIS F Series,17,,"1/2.8"" 1.98 mm, F2.0 185°",,,,,0.1 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-40 °C to 60 °C (-40 °F to 140 °F),IP66/IP67/IP6K9K,,,Forensic WDR/ Lightfinder,- / - / -,- /-,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS F2137-RE,Modular cameras,AXIS F Series,17,,"1/2.78"" 1.98 mm, F2.0 185°",,,,,0.25 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-40 °C to 60 °C (-40 °F to 140 °F),IP66/IP67/IP6K9K,,,Forensic WDR/ Lightfinder,- / - / -,- /-,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS F2180-TE,Modular cameras,AXIS F Series,17,,"Uncooled microbolometer Athermalized lens F1.1, 57° F1.1, 95°",,,,,- / -,8.3,,,,,,,,- / -,,,,-,,-,- / -,-10 °C to 60 °C (14 °F to 140 °F),IP66/IP67/IP6K96,,,- / -,- / -,- / -,- / - / -,,"PVC free, BFR/CFR free",Spot temperature reading Polygonal detection areas,,,,,,
AXIS F4108,Modular cameras,AXIS F Series,17,,"1/2.9” 4.3 mm, F1.8 107°",,,,,0.5 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-20 °C to 50 °C (-4 °F to 122 °F),IP42,,,Forensic WDR/ Lightfinder,- / - / -,- / -,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS F4105-SLRE,Modular cameras,AXIS F Series,17,,"1/2.8"" 2.8 mm, F1.6 110°",,,,,0.3,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-30 °C to 55 °C (-22 °F to 131 °F),"IP66/IP67/IP69 NEMA 4X/NSF/ANSI Standard 169, IK10",,,Forensic WDR/ Lightfinder,- / - / -,- / √,- / - / -,,"PVC free, BFR/CFR free",Exchangable lenses,,,,,,
AXIS F4105-LRE,Modular cameras,AXIS F Series,17,,"1/2.8"" 2.8 mm, F1.6 110°",,,,,0.3,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-30 °C to 55 °C (-22 °F to 131 °F),IP66/IP67/IP6K9K IK10,,,Forensic WDR/ Lightfinder,- / - / -,- / √,- / - / -,,"PVC free, BFR/CFR free",Exchangable lenses,,,,,,
AXIS F7225-RE,Modular cameras,AXIS F Series,17,,"1/2.8"" 3.7 mm, F2.5 97°",,,,,0.3 / -,See AXIS F91XX Main Units,,,,,,,,- / -,,,,-,,-,- / -,-30 °C to 55 °C (-22 °F to 131 °F),IP66/IP67,,,Forensic WDR/ Lightfinder,- / - / -,- / -,- / - / -,,"PVC free, BFR/CFR free",-,,,,,,
AXIS FA54,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),-,,,,,-,25/30,,,,,,,,√ / -,,,,Audio detection AXIS Video Motion Detection Active tampering alarm,,DC,4,0 °C to 45 °C (32 °F to 113 °F),-,,,Forensic WDR / -,√ / √ / -,- / -,- / - / -,,PVC free,Supports 4 sensor units 2x memory card slots HDMI Quad view,,,,,,
AXIS FA51-B,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),-,,,,,-,25/30,,,,,,,,- / -,,,,AXIS Guard Suite AXIS Video Motion Detection AXIS Face Detector Active tampering alarm,,PoE Class 3,2,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR / -,√ / √ / -,- / -,√ / - / √,,"PVC free, BFR/CFR free",Supports 1 sensor unit Memory card slot HDMI,,,,,,
AXIS FA51,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),-,,,,,-,25/30,,,,,,,,- / -,,,,AXIS Guard Suite AXIS Video Motion Detection AXIS Face Detector Active tampering alarm,,PoE Class 3,2,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR / -,√ / √ / -,- / -,√ / - / √,,"PVC free, BFR/CFR free",Barebone Supports 1 sensor unit Memory card slot HDMI,,,,,,
AXIS FA41151,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),"1/3” 2.8 - 6.0 mm, F2.0 99° - 53°",,,,,0.2 / -,25/30,,,,,,,,- / -,,,,-,,-,- / -,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR / -,- / - / -,- / -,- / - / -,,PVC free,-,,,,,,
AXIS FA3105-L1,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),"1/3” 3.13 mm, F2.0 103°",,,,,0.2 / -,25/30,,,,,,,,- / -,,,,-,,-,- / -,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR / -,- / - / -,- / √,- / - / -,,PVC free,-,,,,,,
AXIS FA11251,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),"1/3” 3.7 mm, F2.5 91°",,,,,0.25 / -,25/30,,,,,,,,- / -,,,,-,,-,- / -,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR / -,- / - / -,- / -,- / - / -,,PVC free,-,,,,,,
AXIS FA11051,Modular cameras,AXIS FA Series,18,1920x1080 (2.1 MP),"1/3” 2.8 mm, F2.0 111°",,,,,0.2 / -,25/30,,,,,,,,- / -,,,,-,,-,- / -,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR / -,- / - / -,- / -,- / - / -,,PVC free,Exchangable lenses,,,,,,
AXIS Q9307-LV,Dome cameras,AXIS Q36 Series,19,2592x1944 (5 MP),"1/2.7” 3 - 8 mm, F1.3 104° - 40°",,,,,0.13/0.00,25/30,,,,,,,,√ / 4,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata Coughing fit and stressed voice detection,,PoE Class 4,1/1,Temperature: 0 °C to 40 °C (32 °F to 104 °F),IP44- and IK08-rated,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / √,,PVC free,Two-way audio Echo cancellation Chemical resistant casing LED Indicators,,,,,,
AXIS Q9227-SLV,Dome cameras,AXIS Q36 Series,19,2880x2160 (5 MP),"1/1.7” 3.7 mm, F2.0 115°",,,,,0.06/0.00,25/30,,,,,,,,√ / √,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-20 °C to 50 °C (-4 °F to 122 °F),"IP66/IP6K9K/NEMA 4X, IK11",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / -,√ */ √,√ / √ / √,,"PVC free, BFR/CFR free",White LED Indication LED Built-in speaker On/off switch,,,,,,
AXIS Q3628-VE,Dome cameras,AXIS Q36 Series,19,3840x2160 (8.3 MP),"1/1.2” 6.2-12.9 mm, F1.6 - 2.9 103° - 48°",,,,,0.07/0.01,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9), IK10, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 62% bio-plastics 2% recycled plastics",Electronic image stabilization Shock detection Pan-tilt-roll-zoom (PTRZ),,,,,,
AXIS Q3626-VE,Dome cameras,AXIS Q36 Series,19,2688x1512 (4.1 MP),"1/1.8"" 4.3 - 8-6 mm, F1.5 - 2.4 103° - 52°",,,,,0.06/0.01,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9), IK10, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 62% bio-plastics 2% recycled plastics",Electronic image stabilization Shock detection Pan-tilt-roll-zoom (PTRZ),,,,,,
AXIS Q3558-LVE,Dome cameras,AXIS Q36 Series,19,3840x2160 (8.3 MP),"1/1.2"" 6.3 - 13 mm, F1.5 - 2.9 104° - 48°",,,,,0.04/0.00,50/60,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9),,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection,,,,,,
AXIS Q3556-LVE,Dome cameras,AXIS Q36 Series,19,2688x1512 (4.1 MP),"1/1.8"" 4.7 - 10 mm, F1.1 - 1.2 101° - 44°",,,,,0.01/0.00,100/120,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9), IK10, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection,,,,,,
AXIS Q3548-LVE,Dome cameras,AXIS Q36 Series,19,3840x2160 (8.3 MP),"1/1.2"" 6.3 - 13 mm, F1.5 - 2.9 104° - 48°",,,,,0.04/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9), IK10, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection,,,,,,
AXIS Q3546-LVE,Dome cameras,AXIS Q36 Series,19,2688x1512 (4.1 MP),"1/1.8"" 4.7 -10 mm, F1.1 - 1.2 101° - 44°",,,,,0.01/0.00,100/120,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),"IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9), IK10, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3,,"PVC free, BFR/CFR free",Electronic image stabilization Shock detection,,,,,,
AXIS Q3538-SLVE,Dome cameras,AXIS Q36 Series,19,3840x2160 (8.3 MP),"1/1.2” 6.2 -12.9 mm, F1.6 - 2.9 103° - 49°",,,,,0.07/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",2,-50 °C to 55 °C (-58 °F to 131 °F),"NSF/ANSI Standard 169, DNV IP66/NEMA 250 Type 4X/NEMA TS 2 (2.2.7-2.2.9), IK10+, IP6K9K",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √,√ / √,√ / √ / FIPS 140-2 Level 2,,PVC free,Electronic image stabilization Shock detection,,,,,,
AXIS P9117-PV,Dome cameras,AXIS P39 Series,20,2160x2160 (6 MP),"1/1.8” 1.1 mm, F2.2 182°",,,,,0.16/0.03,50/60,,,,,,,,√ / √,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata AXIS Audio Analytics Elevator door state detector,,PoE Class 3,- / -,-15 °C to 50 °C (5 °F to 122 °F),"IP66 (Indoor only), IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,PVC free,PoE over 2-wire,,,,,,
AXIS P3935-LR,Dome cameras,AXIS P39 Series,20,1920x1080 (2.1 MP),"1/2.9” 2.8 mm, F1.6 110°",,,,,0.06/0.01,25/30,,,,,,,,√ / √,,,-,AXIS Guard Suite Blocked view detection Audio detection AXIS Video Motion Detection Active tampering alarm,,PoE Class 3,1/1,Normal: -40 °C to 55 °C (-40 °F to 131°F) Maximum (intermittent): 70 °C (158 °F),"IP66/IP67/NEMA 4X (Indoor only), NFPA 130 complicance, EN45545, EN50155, IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / √,√ / - / -,,PVC free,Electronic image stabilization Shock detection Suited for indoor onboard surveillance,,,,,,
AXIS P3925-R,Dome cameras,AXIS P39 Series,20,1920x1080 (2.1 MP),"1/2.9” 2.8 mm, F1.6 110°",,,,,0.06/0.01,25/30,,,,,,,,- / -,,,-,AXIS Guard Suite Blocked view detection AXIS Video Motion Detection Active tampering alarm,,PoE Class 2,- / -,Normal: -40 °C to 55 °C (-40° F to 131°F) Maximum (intermittent): 70 °C (158 °F),"IP66/IP67/NEMA 4X (Indoor only), NFPA 130 complicance, EN45545, EN50155 IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / - / -,,PVC free,Electronic image stabilizationn Shock detection Suited for indoor onboard surveillance,,,,,,
AXIS P3925-LRE,Dome cameras,AXIS P39 Series,20,1920x1080 (2.1 MP),"1/2.9” 6.0 mm, F1.9 56°",,,,,0.07/0.02,25/30,,,,,,,,- / -,,,-,AXIS Guard Suite AXIS Video Motion Detection,,PoE Class 3,- / -,Normal: -40 °C to 55°C (-40 °F to 131°F) Maximum (intermittent): 70 °C (158 °F),"IP66/IP67/IP6K9K/NEMA 4X, EN45545, EN50155 IK10+",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / √,√ / - / -,,PVC free,Electronic image stabilization Shock detection Suited for exterior onboard monitoring,,,,,,
AXIS P3905-R Mk III,Dome cameras,AXIS P39 Series,20,1920x1080 (2.1 MP),"1/2.9”, 3.6 mm, F2.0, 88° 1/2.9”, 2.8 mm, F1.5, 107°",,,,,0.13/-,25/30,,,,,,,,- / -,,,-,AXIS Guard Suite AXIS Video Motion Detection Active tampering alarm,,PoE Class 1,- / -,Normal: -30 °C to 55 °C (-22 °F to 131 °F) Maximum (intermittent): 70 °C (158 °F),"P66/IP67/NEMA 4X (Indoor only), EN45545, EN50155 IK10",,,Forensic WDR/Lightfinder,√ / √ / √ / -,- / -,√ / √ / √,,"PVC free, BFR/CFR free",Suited for indoor onboard surveillance,,,,,,
AXIS P3288-LVE,Dome cameras,AXIS P32 Series,21,3840x2160 (8.3 MP),"1/1.8” 4.4 - 14.6 mm, F1.65 - 3.65 103°- 29°",,,,,0.11/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready,,,,,,
AXIS P3288-LV,Dome cameras,AXIS P32 Series,21,3840x2160 (8.3 MP),"1/1.8” 4.4 - 14.6 mm, F1.65 - 3.65 103°- 29°",,,,,0.11/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready,,,,,,
AXIS P3287-LVE,Dome cameras,AXIS P32 Series,21,2592x1944 (5 MP),"1/2.8” 3.0 - 8.5 mm, F1.38 - 2.58 104°- 34°",,,,,0.1/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready,,,,,,
AXIS P3287-LV,Dome cameras,AXIS P32 Series,21,2592x1944 (5 MP),"1/2.8” 3.0 - 8.5 mm, F1.38 - 2.58 104°- 34°",,,,,0.1/0.00,25/30,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready,,,,,,
AXIS P3285-LVE,Dome cameras,AXIS P32 Series,21,1920x1080 (2.1 MP),"10 mm: 1/2.8”, 3.4 - 9.8 mm F1.4 - 2.7, 100°- 32° 29 mm: 1/2.8”, 10.8- 28.2 mm F1.70 - 1.76, 29.1°- 11°",,,,,0.08/0.00,50/60,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready,,,,,,
AXIS P3285-LVE Kit,Dome cameras,AXIS P32 Series,21,1920x1080 (2.1 MP),"1/2.8” 3.4 - 9.8 mm, F1.4 - 2.7 100°- 32°",,,,,0.08/0.00,50/60,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata AXIS License Plate Verifyer,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Preinstalled ALPV Traffic camera installation assistant,,,,,,
AXIS P3285-LV,Dome cameras,AXIS P32 Series,21,1920x1080 (2.1 MP),"1/2.8” 3.4 - 9.8 mm, F1.4 - 2.7 100°- 32°",,,,,0.08/0.00,50/60,,,,,,,,- / - Acoustic sensor,,,Deep learning processing unit,AXIS Object Analytics AXIS Audio Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,0 °C to 50 °C (32 °F to 122 °F),IK10,,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 39% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready,,,,,,
AXIS P3278-LVE,Dome cameras,AXIS P32 Series,22,3840x2160 (8.3 MP),"1/1.8” 4.4-14.6 mm, F1.65-3.65 103°- 29°",,,,,0.11/0.00,25/30,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,PoE Class 3,1/1,-40 °C to 50 °C (-40 °F to 122 °F),"IP66/IP67/NEMA 250 Type 4X/ NEMA TS 2 (2.2.7), IK10",,,Forensic WDR/ Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 43% bio-plastics 2% carbon capture-based plastics",Case open sensor Conduit-ready Edge-to-edge technology,,,,,,
